Contig,ORF,Day1_L2,Day1_L6,Day1_L10,Day1_D2,Day1_D6,Day1_D10,Day2_LL2,Day2_LL6,Day2_LL10,Day2_LD2,Day2_LD6,Day2_LD10
Contig1.8_17_17491_16796,cce_2659,-0.038329300000000004,-0.07986002,-0.03678046,0.28810559999999996,0.5430946,0.228553,0.02491328,-0.05822902,0.10502180000000001,0.15189860000000002,0.08380388,-0.2373361
Contig1.8_18_17813_19102,cce_2658,0.12161689999999999,0.0231947,-0.1696582,-0.1629067,-0.08481833,-0.05409777,0.06977807,0.01717258,-0.1766884,-0.1170628,-0.09481233,0.07604491
Contig1.8_19_19325_21241,cce_2657,0.1528227,0.01486374,-0.1025802,-0.05031754,-0.07202725,0.04299891,0.09064362,-0.1132802,-0.22201350000000003,0.02363626,-0.10575819999999998,0.03497411
Contig1.8_1_163_393,cce_2675,0.8519810999999999,0.0171248,0.2088786,-0.03668053,0.003068875,-0.2409175,-0.2025215,-0.1553776,0.07119888,-0.4217178,-0.2899873,-0.35055840000000005
Contig1.8_20_22326_21469,cce_2656,-0.06241976,0.28786799999999996,0.3756266,-0.2196346,-0.30313759999999995,0.1448999,-0.2227067,0.17173940000000001,0.03680979,-0.1144595,0.1142968,0.4385326
Contig1.8_21_22570_22334,cce_2655,-0.8713865,0.8117833999999999,0.15588370000000001,-1.333349,-0.8323746,-0.109675,-1.176372,0.6794084,-0.32102959999999997,-0.6591760999999999,-0.14221589999999998,0.1542032
Contig1.8_22_23538_22651,cce_2654,-1.012217,0.8640832,0.2002246,-1.1989020000000001,-0.7208276,-0.08092818,-1.308406,0.7254356,-0.5111039,-0.651519,-0.2839242,0.1801752
Contig1.8_23_24461_23640,cce_2653,-0.7988683000000001,0.9286027,0.19409970000000001,-1.232493,-0.5878264,-0.09234912,-0.8592685999999999,0.9626879,-0.1934877,-0.6913716,-0.3331712,0.19902160000000002
Contig1.8_24_25074_24586,cce_2652,-1.1377899999999999,0.5274611,0.17867449999999999,-0.6073975,-0.5805985,-0.008517122,-1.205501,0.646624,-0.1846499,-0.3132818,-0.07650508,-0.0423308
Contig1.8_25_25552_25172,cce_2651,-1.126875,0.4507706,0.12893759999999999,-0.647256,-0.6990850000000001,-0.1176493,-1.1854799999999999,0.5102982,-0.3147403,-0.3531194,-0.2597789,-0.05127327
Contig1.8_2_578_838,cce_2674,0.245759,-0.01587385,0.04402496,0.06418372,-0.04023378,0.0053632390000000005,-0.02434578,0.02037668,0.02717613,0.04622787,-0.02194472,-0.013072299999999999
Contig1.8_3_1203_1481,cce_2673,0.1546442,0.04201554,0.2094027,0.32014000000000004,0.2684531,0.2977032,0.21454740000000003,0.19779829999999998,0.25015820000000005,0.18799570000000002,0.03231303,-0.02200232
Contig1.8_4_1666_2376,cce_2672,0.1508803,-0.1197531,-0.23325370000000004,0.1713397,0.381181,0.4624451,-0.1703845,-0.1806134,-0.35123899999999997,-0.08243930000000001,-0.07921404,-0.04982748
Contig1.8_5_3198_2362,cce_2671,0.1889939,0.04518689,-0.1440256,-0.1412555,0.01824628,0.2024259,-0.1045451,-0.30433000000000004,-0.04595032,0.1119193,0.008255667,-0.253569
Contig1.8_6_6642_3547,cce_2670,0.05345439,0.05630175,-0.003309425,0.1687247,0.29525500000000005,0.09886264,0.03236125,0.08868998,0.06627105,-0.01325447,0.09163032,0.09526588
Contig1.8_7_8619_7252,cce_2669,-0.2629415,0.1792735,0.2883202,-0.1537334,-0.08730327,-0.2558467,-0.27332,0.18853770000000003,0.08987731,-0.37445290000000003,0.01097418,0.3572994
Contig1.8_8_9500_8715,cce_2668,-0.13951770000000002,0.06462184,0.02218234,0.2342279,0.06404186,-0.02927175,-0.07760082,0.2030254,0.20645039999999998,-0.08887845,0.07054846,0.07405105
Contig1.8_9_10928_9756,cce_2667,-0.3485583,0.09487711,0.03070747,-0.1935461,-0.4649207,-0.147017,-0.38237659999999996,-0.2072682,-0.07989277,-0.2430217,0.2957618,0.2722713
Contig1.9_10_7866_8636,cce_2642,-0.1388384,-0.1037155,-0.07121186,0.1406416,0.4785054,0.3038679,-0.08738107,-0.06015099,0.04841417,0.1230579,-0.04822501,-0.18710520000000003
Contig1.9_11_8728_8633,cce_2641,0.06773058,0.10587089999999999,-0.01347077,0.29202009999999995,0.1706631,-0.028269599999999995,0.1922086,0.19011720000000001,0.3615216,0.05932012,0.24364899999999998,0.03353195
Contig1.9_12_8821_11496,cce_2640,0.4814899,-0.02581771,-0.1759586,-0.6869153,-0.4619875,-0.13439,0.20675749999999998,-0.0687392,-0.12126179999999999,0.12046559999999999,0.1963104,0.2251161
Contig1.9_13_12143_11802,cce_2639,0.824507,-0.6732374,-0.5466031,-1.53575,-0.904051,-1.5306799999999998,0.06415187,-1.06126,-0.6118712,-0.143474,1.018769,0.6197228
Contig1.9_1_75_1,cce_2651,-1.148197,0.4637547000000001,0.1037809,-0.5847678000000001,-0.7564056,-0.14245120000000003,-1.123934,0.6995175,-0.1577894,-0.3339284,-0.1708104,-0.03069665
Contig1.9_2_413_580,cce_2650,-0.05706731,0.05559951,0.0048062040000000006,0.13649160000000002,0.19244460000000002,0.03933008,0.01035583,0.12196459999999999,0.1239068,-0.02452337,0.05797504,-0.00838347
Contig1.9_3_850_2229,cce_2649,-0.21650820000000004,0.2835203,0.03589283,0.09783983,-0.2523419,-0.1952537,-0.21164229999999998,0.1742765,0.07988909,0.09979704,0.2989147,0.2031157
Contig1.9_4_2253_4433,cce_2648,-0.1033475,0.1865755,-0.02562465,0.07645129,-0.20041979999999998,-0.049699900000000005,-0.20593029999999998,-0.009644957,-0.027574900000000003,0.044235500000000004,0.1321394,0.10671900000000001
Contig1.9_5_5428_4475,cce_2647,0.03599936,0.02180156,0.02257522,0.07292501,0.11595760000000001,0.11017930000000001,0.01476799,0.03902588,-0.007501742,0.004735424,0.07765719,0.07807566
Contig1.9_6_6418_5513,cce_2646,0.1007715,-0.04286161,0.03511921,-0.27544120000000005,-0.002204715,-0.06952084,0.06906329,0.04958493,-0.00713892,0.1107355,0.1234354,0.28486290000000003
Contig1.9_7_6911_6600,cce_2645,0.02220041,-0.01703703,-0.09623284,0.09615627,0.37927859999999997,0.1955192,-0.01224274,-0.008696067,-0.1334682,-0.1645843,-0.14975850000000002,-0.06191709
Contig1.9_9_7649_7248,cce_2643,0.2044195,-0.04608073,-0.08274671,-0.3299534,-0.20539749999999998,-0.1262666,0.1209635,-0.03648376,-0.2530992,0.01152889,0.07704608,0.35332820000000004
Contig10.1_10_6380_6144,cce_2259,0.04076757,-0.24134339999999999,-0.323754,0.6827151,-0.1476415,-0.05294137,-0.0999562,-0.2817751,-0.35720209999999997,0.34092849999999997,-0.005147232,-0.04137577
Contig10.1_11_6727_6377,cce_2258,0.05160284,-0.1959475,-0.3941612,0.3910132,-0.2125379,-0.130142,-0.05295562,-0.1841959,-0.285191,0.18870510000000001,-0.05742582,-0.1293194
Contig10.1_12_7592_6777,cce_2257,-0.01904248,-0.18145529999999999,-0.17725370000000001,0.7030079,0.23419610000000002,-0.03945091,-0.02763025,-0.1839739,0.00288925,0.09146818,-0.1407341,-0.25352210000000003
Contig10.1_13_8896_7766,cce_2256,0.10737239999999999,-0.02200492,-0.13708270000000003,0.01736279,0.04436794,0.09144989,0.188673,0.03726428,0.1068596,0.0031898000000000004,0.0532798,-0.04486921
Contig10.1_14_11955_9043,cce_2255,0.1656207,0.1500919,0.2571936,-0.42838699999999996,-0.4259412,-0.1363999,-0.06211301,-0.03806862,0.2203438,-0.0486228,0.03300693,0.0175527
Contig10.1_15_12220_12381,cce_2254,0.03989521,0.008598725,-0.07538705,0.07440161,0.006445125,-0.11929949999999999,0.2075815,0.1059653,-0.09529241,0.2526248,0.1434393,0.17241270000000003
Contig10.1_16_12424_13485,cce_2253,0.3919882,0.03825365,-0.1831615,-0.7003121999999999,-0.3847624,-0.22580170000000002,0.2816225,0.21473209999999998,-0.07152051,-0.09046018,0.2173861,0.23909989999999998
Contig10.1_17_13624_15273,cce_2252,0.1539211,0.02317697,0.04945602,0.1540393,-0.117497,0.05560654,0.1714529,0.1269413,0.1837172,0.15833139999999998,0.11609760000000001,0.1856879
Contig10.1_18_15308_15490,cce_2251,0.08276189999999999,-0.05762993,0.0400393,0.007233135,-0.05391496,-0.039443599999999995,0.1572662,0.1078711,0.19171400000000002,0.2444431,0.22683449999999997,0.1855956
Contig10.1_20_16268_15804,cce_2250,0.256422,-0.29269959999999995,-0.02704848,-0.20864610000000003,-0.5768703000000001,-0.05547207,0.04612876,-0.6630608,0.04036039,0.5349378,0.2199849,-0.34495879999999995
Contig10.1_21_16692_17390,cce_2249,-0.38828070000000003,0.46488950000000007,-0.09680568,-0.3005638,-0.04672039,-0.4788197,-0.12555940000000002,0.6600339,-0.1073108,-0.5856039000000001,-0.04545615,0.06238424
Contig10.1_22_17636_19957,cce_2248,0.22997779999999998,0.01603416,-0.1990386,-0.4624057,-0.28242540000000005,-0.3390038,0.36898400000000003,0.09893044,-0.05876062,0.04691864,0.06356431,0.2795514
Contig10.1_23_20960_20187,cce_2247,0.05773285,-0.0858498,0.02906806,-0.06714099,0.02450519,0.01599168,0.002722133,-0.006995067,0.05619761,0.1411895,-0.02141099,0.02363397
Contig10.1_24_23250_21007,cce_2246,-0.0392591,-0.2542278,-0.20481149999999998,0.23777870000000004,0.7497183000000001,0.4965941,-0.008666775,-0.12240160000000001,0.2961164,0.3490216,-0.25383479999999997,-0.6618655999999999
Contig10.1_26_24446_23694,cce_2245,-0.1538749,0.23069920000000002,0.1125375,0.05157192,0.03680396,-0.0116197,-0.09505995,0.12560710000000003,0.05746395,-0.2145931,0.07368983,-0.05224837
Contig10.1_27_26638_24683,cce_2244,-0.1267336,0.11013219999999999,0.08633968,0.03301622,0.055400300000000006,0.09304817,-0.138234,0.09311939999999999,-0.09974698,-0.0956941,0.16707020000000003,0.14112120000000003
Contig10.1_28_26915_29518,cce_2243,0.09503793,0.2191219,-0.0478374,-0.38202620000000004,-0.5409056,-0.1794866,-0.06937761,0.15824029999999997,-0.08514327,0.06392781,0.08357533,0.13692939999999998
Contig10.1_29_29814_31547,cce_2242,-0.02370633,0.00495683,0.008749155,0.1404898,0.09750534,0.128883,0.0251737,0.05310653,-0.06098574,-0.02110991,-0.02431255,-0.05098861
Contig10.1_2_1809_301,cce_2267,0.08331929,0.09436943,-0.001883342,0.15496429999999997,-0.2022691,0.01640164,0.06512924,0.2613542,-0.07208057,0.005614283,0.06428285,0.21982770000000001
Contig10.1_30_31596_35198,cce_2241,-0.02689472,0.02772295,0.02155106,0.2040724,0.06798963,0.01958205,-0.01104712,0.05986918,0.08452667,-0.00502402,0.10496400000000002,0.03610388
Contig10.1_31_35842_35276,cce_2240,0.1283261,-0.03696148,-0.05600704,-0.02826316,-0.009396197,0.04317188,0.1327169,-0.07116362,-0.1323695,0.2122615,-0.02431298,-0.03999413
Contig10.1_32_36597_35914,cce_2239,-0.1068366,0.0062551,0.07928531,0.3318063,0.1421573,0.24490309999999998,-0.0259865,0.03803942,-0.02650852,-0.03255588,0.04119142,0.008560075
Contig10.1_33_37134_36841,cce_2238,-0.3089676,0.09578196,0.1957951,-0.2909063,0.32956149999999995,0.26067470000000004,-0.2524342,-0.05143068,0.06020381,-0.3823183,-0.34125959999999994,-0.3337274
Contig10.1_34_40199_37581,cce_2237,-0.3927907,-0.6511399999999999,0.1003292,0.5254744,0.424467,0.1977025,-0.19107320000000003,-0.38884509999999994,0.1390956,0.42038149999999996,0.1909621,-0.2332225
Contig10.1_35_41176_40313,cce_2236,-1.115693,-0.6524703000000001,0.5874873,1.192483,-0.30572659999999996,-0.6272408,-0.771688,-0.7848622,0.16253620000000002,0.1756681,-0.2131178,-0.38531909999999997
Contig10.1_36_41371_42099,cce_2235,-0.00724043,0.03302571,0.04127128,-0.06720734,0.008931073000000001,-0.02961023,-0.008262827,0.006759343,0.14091889999999999,-0.005724290999999999,-0.03262079,0.04569245
Contig10.1_37_42128_44035,cce_2233,0.18693110000000002,0.07603752,0.0054041,-0.47367529999999997,-0.32767379999999996,-0.005446711999999999,0.11725450000000001,0.08366932,0.15343779999999999,0.030690199999999997,0.002678687,0.03069545
Contig10.1_38_44914_49407,cce_2232,-0.02694892,0.00821116,0.08309058,0.10243830000000001,0.08807508,-0.008993188000000001,0.05896825,0.06333092,0.0977972,0.01526591,0.08317314,0.06160445
Contig10.1_39_49627_50634,cce_2231,0.01006581,0.04535922,0.03819794,0.02446411,0.13164620000000002,0.1450547,-0.03725751,-0.0015368170000000002,-0.1271651,-0.1231732,-0.1187083,-0.01639175
Contig10.1_3_2761_1844,cce_2266,0.02458339,0.08926128,-0.07017329,-0.03445031,-0.007948235,-0.04281043,0.09727608,0.1625129,-0.007186289,-0.1138724,0.1264323,0.2600629
Contig10.1_40_50775_51761,cce_2230,0.0481839,0.06078538,0.03254824,-0.03635563,0.14881,0.09584925,0.03452196,0.09332427,0.04432298,0.01836977,0.06999508,0.04523119999999999
Contig10.1_41_51902_53260,cce_2229,-0.2538506,-0.41641530000000004,-0.4952095,-0.15909379999999998,1.0665149999999999,0.38924970000000003,-0.2720198,-0.7277058000000001,-0.29720640000000004,-0.008509395,-0.5699845,-1.14001
Contig10.1_43_53716_54618,cce_2227,0.08675786,0.2901204,-0.3326369,-0.1792906,-0.05977801,-0.2619581,-0.09738824,0.3143801,-0.24945229999999996,0.1106519,0.3000522,0.2282431
Contig10.1_44_55078_54734,cce_2226,0.5372331,0.09003256,-0.4505234,-0.26624640000000005,-0.33782290000000004,-0.22953400000000002,0.3219964,0.15064829999999998,-0.5609133000000001,-0.3056151,-0.1015273,0.5247611999999999
Contig10.1_45_57434_55236,cce_2225,0.7432318,-0.16169779999999997,-0.7454525,-0.543143,-0.32052529999999996,-0.1620606,0.5563248000000001,0.06886381,-1.027649,0.18412879999999998,0.02824003,1.033531
Contig10.1_46_57961_59079,cce_2224,-0.05259551,-0.1608997,0.3886562,-0.05209119999999999,-0.02720498,-0.02982396,0.02180633,0.0738062,0.5205635999999999,0.24386770000000002,0.057599000000000004,-0.3605379
Contig10.1_47_59113_59703,cce_2223,-0.41521359999999996,0.09950593,0.6620111,-0.1616362,-1.186452,-1.361739,-0.1946096,0.05243559,0.3366866,-0.04253763,-0.05787198,0.08816375
Contig10.1_48_59790_60416,cce_2222,-0.1535292,-0.06377245,0.4300876,-0.14567360000000001,-0.377444,-0.3521067,-0.13588440000000002,0.09537445,0.06592093,0.1683986,0.04417148,0.1722626
Contig10.1_49_60462_60773,cce_2221,-0.03525033,-0.1682374,0.5616799,-0.35038,-1.505243,-1.218559,0.0468099,0.09851239,0.46101210000000004,0.3353002,0.25056710000000004,0.27449850000000003
Contig10.1_4_3162_2767,cce_2265,-0.03312902,0.005002835,-0.03704655,-0.1470911,-0.04025262,-0.1487407,0.01621483,0.1016477,-0.1901582,-0.1240116,-0.02132287,0.2222562
Contig10.1_50_62473_60968,cce_2220,-0.1505266,-0.03280486,0.03624056,0.17417939999999998,0.08618281,-0.1159539,-0.07512009,0.00735595,0.49105200000000004,0.1361667,-0.0625831,-0.1280284
Contig10.1_51_62997_62521,cce_2219,0.17086070000000003,0.05488336,-0.002275848,0.04459842,0.0592476,0.08215265,0.08819884,-0.04371629,-0.1151566,-0.08943093,-0.09140342,-0.08381956
Contig10.1_52_63535_62978,cce_2218,0.1514544,0.1268478,0.04629705,-0.20158270000000003,-0.104226,0.1558531,-0.002403308,-0.02836321,-0.1857683,-0.1861934,-0.2002267,-0.19382220000000003
Contig10.1_53_63853_63635,cce_2217,0.06142097,0.05850447,-0.19639979999999999,-0.5410272,-0.27574099999999996,0.02407804,-0.08552651,-0.1829696,-0.18467650000000002,-0.3204617,-0.313187,-0.4550889
Contig10.1_54_64004_65068,cce_2216,-0.0160345,-0.1492761,-0.002895875,0.3349541,0.1821171,0.43820820000000005,0.03433399,-0.02665073,0.23448899999999998,0.1588932,-0.01604185,-0.07113114
Contig10.1_55_65124_66503,cce_2215,0.09859337,0.3344503,0.01829312,-0.20315479999999997,-0.2067917,-0.02248045,0.00450311,0.3857316,-0.1272963,-0.341326,-0.1267212,0.0350546
Contig10.1_56_66851_66994,cce_2214,0.4364545,0.04251089,0.3577229,-0.4086369,0.6240486,-0.28968979999999994,0.2162949,-0.49894099999999997,-0.4944769,-0.4278981,-0.2225595,-0.3200524
Contig10.1_57_67122_67391,cce_2213,-0.2502724,-0.2408675,-0.17017829999999998,-0.08230017,1.556155,0.5535416,-0.1556279,-0.2473732,-0.1109129,-0.303753,-0.41214290000000003,-0.3948788
Contig10.1_58_67527_67724,cce_2212,-0.2767225,-1.097209,-0.8095669,1.0012020000000001,0.799287,0.712016,0.18857390000000002,-0.7725808000000001,-1.008353,0.11928010000000001,-0.07878541,-0.4357723
Contig10.1_59_68006_68710,cce_2211,-0.01888365,-0.04913273,-0.0339976,0.06428402,0.5181783,0.1164953,0.05087215,-0.08908880000000001,-0.12725889999999998,-0.06969582,-0.007713675,-0.00836055
Contig10.1_5_3312_3446,cce_2264,-0.03038001,0.002506175,0.02464668,0.16862629999999998,0.1692845,0.08743686,-0.03269782,0.01077693,0.07602254,0.01339929,-0.02187322,-0.04497097
Contig10.1_60_69818_68730,cce_2210,-0.1317102,-0.01870535,-0.04151406,0.466753,0.38017,0.2702357,0.002365275,-0.02618322,0.1246234,0.01884407,0.07134023,-0.03547135
Contig10.1_61_71013_69805,cce_2209,-0.03085623,-0.02800059,0.02392542,0.1556418,0.20767529999999998,0.20651660000000002,-0.0482395,0.02706611,-0.10629080000000002,-0.02172745,0.0613068,0.07055814
Contig10.1_62_71778_71128,cce_2208,0.02984011,0.01162872,-0.005689993000000001,-0.00140639,-0.09777985,-0.114068,-0.11449300000000001,0.2491478,0.06441341,0.11653150000000001,0.1976681,0.29625029999999997
Contig10.1_6_3578_4906,cce_2263,-0.004399845,0.06518376,-0.139533,-0.2085714,0.10472169999999999,-0.001111253,-0.1095356,-0.09098011,-0.1640438,-0.2243513,-0.103402,-0.19999029999999998
Contig10.2_1_178_1221,cce_2207,-0.04007862,0.399683,-0.311782,-0.35742909999999994,-0.2347732,-0.3237715,0.03738536,0.3293953,-0.36591290000000004,-0.45564840000000006,0.19646129999999998,0.5802838
