Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig0.10_10_14370_15446,cce_4187,-0.74,-0.62,-0.13,0.35,0.26,-0.16,-0.87,-0.43,-0.12,0.38,0.37,-0.04
Contig0.10_11_16336_15422,cce_4186,-0.33,-0.64,-0.31,0.16,0.41,0.23,-0.42,-0.45,-0.3,0.06,0.34,0.23
Contig0.10_12_16503_17552,cce_4185,-0.46,-0.41,-0.41,0.66,-0.2,-0.04,-0.46,-0.28,-0.46,0.48,-0.01,0.04
Contig0.10_13_17679_17981,cce_4184,-0.23,0.27,0.13,0.08,-0.12,-0.08,-0.23,0.11,0.12,0.18,-0.05,-0.08
Contig0.10_14_18000_18698,cce_4183,-0.18,0.18,-0.02,-0.09,-0.22,-0.15,-0.21,0.09,-0.04,-0.08,-0.13,-0.16
Contig0.10_15_18756_18854,cce_4182,,0.23,0.16,-0.1,-0.22,-0.18,-0.06,0.14,0.11,-0.05,-0.17,-0.14
Contig0.10_16_19246_19094,cce_4180,0.23,0.58,0.25,-0.4,-0.1,-0.1,0.18,0.32,0.01,-0.38,-0.19,-0.1
Contig0.10_17_19930_19358,cce_4179,-0.16,-0.37,-0.18,-0.06,0.47,0.42,-0.09,-0.08,-0.09,-0.03,0.39,0.42
Contig0.10_18_20712_19960,cce_4178,-0.2,-0.33,-0.32,-0.02,0.41,0.43,-0.09,-0.15,-0.01,0.02,0.56,0.53
Contig0.10_19_20881_23430,cce_4177,-0.3,-0.34,-0.51,0.81,0.32,-0.44,-0.35,-0.21,-0.33,0.49,-0.53,-0.5
Contig0.10_1_97_759,cce_4196,0.13,-0.02,0.08,0.45,0.25,-0.08,0.1,0.06,-0.03,0.25,-0.01,-0.07
Contig0.10_20_23501_25597,cce_4176,-0.06,-0.17,-0.3,0.78,0.24,-0.2,-0.12,-0.15,-0.17,0.54,-0.13,-0.15
Contig0.10_21_25654_27474,cce_4175,0.23,0.15,0.23,0.14,0.18,0.07,0.22,0.22,0.21,0.13,0.09,0.07
Contig0.10_22_28171_27554,cce_4174,-0.27,-0.08,1.08,-0.5,-0.49,-0.64,-0.51,-0.02,1.36,-0.47,-0.48,-0.63
Contig0.10_23_28632_29429,cce_4173,0.05,0.44,0.53,0.22,-0.22,-0.28,-0.06,0.43,0.45,0.15,,-0.19
Contig0.10_24_29520_29900,cce_4172,0.11,0.2,0.35,0.06,0.02,,0.05,0.2,0.22,-0.06,0.01,-0.06
Contig0.10_25_30034_30492,cce_4171,0.11,0.07,0.14,0.08,0.03,0.1,0.14,0.11,0.13,0.06,0.05,0.07
Contig0.10_26_30606_32255,cce_4170,-0.01,0.04,0.17,0.25,0.13,0.06,,0.15,0.14,0.16,0.12,0.06
Contig0.10_27_32293_33747,cce_4169,0.3,0.25,0.21,0.06,0.06,0.05,0.2,0.14,0.12,0.01,0.04,0.03
Contig0.10_28_33752_34723,cce_4168,-0.08,-0.03,-0.03,0.05,-0.01,-0.02,-0.06,-0.01,0.04,0.02,-0.01,0.02
Contig0.10_29_34886_35347,cce_4166,-0.09,0.55,0.28,0.19,-0.14,-0.11,-0.03,0.58,0.32,0.14,-0.26,-0.18
Contig0.10_2_893_1255,cce_4195,-0.64,-1.1,-0.74,1.45,0.48,-0.92,-0.87,-0.76,-0.8,1.01,-0.48,-0.84
Contig0.10_30_35430_36251,cce_4165,-0.03,0.09,0.1,0.03,0.22,0.19,0.02,0.22,0.2,-0.08,0.16,0.21
Contig0.10_31_36368_37006,cce_4164,0.06,0.11,0.14,0.07,0.06,0.11,0.09,0.2,0.22,0.07,0.09,0.13
Contig0.10_32_37073_37717,cce_4163,0.04,-0.04,0.17,0.11,0.21,0.08,-0.06,0.05,0.21,0.11,0.16,0.14
Contig0.10_33_37784_38170,cce_4162,0.23,0.09,0.17,0.04,-0.07,0.03,0.16,0.16,0.13,-0.03,-0.07,-0.04
Contig0.10_34_38309_38695,cce_4161,,-0.01,0.16,0.35,-0.03,0.02,-0.09,0.19,0.25,0.33,0.1,0.08
Contig0.10_35_38700_38990,cce_4160,0.05,0.18,0.25,0.29,-0.22,-0.1,-0.07,0.27,0.27,0.26,-0.03,-0.07
Contig0.10_36_40265_39024,cce_4159,-0.04,0.18,0.04,-0.09,-0.12,-0.05,0.02,-0.05,-0.01,-0.11,-0.06,-0.06
Contig0.10_38_40989_40561,cce_4157,-0.22,-0.2,-0.22,0.01,0.11,-0.08,-0.25,-0.18,-0.18,0.02,0.12,0.03
Contig0.10_39_42884_40989,cce_4156,,-0.03,-0.06,-0.07,0.12,0.05,0.01,-0.04,-0.03,-0.03,0.21,0.12
Contig0.10_3_1293_1841,cce_4194,-0.05,-0.15,-0.36,1.02,0.33,-0.52,-0.15,-0.15,-0.16,0.84,-0.22,-0.33
Contig0.10_40_43261_43103,cce_4155,1.07,-0.17,-0.28,-0.76,-0.84,0.49,1.1,-0.19,-0.18,-0.58,-0.54,0.19
Contig0.10_41_43685_43371,cce_4154,1.33,-0.73,-0.8,-1.06,-1.11,0.91,1.49,-0.57,-0.83,-0.74,-0.77,0.55
Contig0.10_42_43864_43688,cce_4153,1.53,-1.16,-1.93,-2.27,-2.21,1.21,1.7,-1.04,-1.72,-1.78,-1.68,0.74
Contig0.10_43_44370_46166,cce_4152,0.91,0.19,-0.21,-0.24,-0.48,0.36,0.82,0.24,-0.14,-0.11,-0.28,0.24
Contig0.10_44_46316_47512,cce_4151,0.21,0.13,0.1,,0.03,0.1,0.29,0.14,0.14,0.02,0.02,0.08
Contig0.10_45_47502_48197,cce_4150,1.48,0.24,-0.6,-0.79,-0.68,0.36,1.27,0.14,-0.45,-0.46,-0.51,0.3
Contig0.10_46_48184_48999,cce_4149,0.46,0.08,-0.04,-0.08,-0.11,0.13,0.45,0.2,-0.03,-0.05,-0.09,0.06
Contig0.10_48_49667_51889,cce_4147,-0.23,-0.21,-0.09,0.3,0.3,0.1,-0.09,-0.06,-0.02,0.21,0.23,0.1
Contig0.10_49_52870_52034,cce_4146,,0.46,0.2,0.1,-0.17,-0.24,,0.36,0.14,0.07,-0.09,-0.18
Contig0.10_4_1944_1846,Contig0.10_4_1944_1846,-0.35,0.01,-0.37,-0.43,-0.51,-0.43,-0.45,-0.37,-0.43,-0.4,-0.45,-0.39
Contig0.10_50_52976_52878,cce_4145,-0.16,0.1,-0.13,-0.2,-0.22,-0.22,-0.15,-0.1,-0.18,-0.19,-0.27,-0.22
Contig0.10_51_52975_53187,cce_4144,0.07,-0.06,0.04,-0.07,0.17,0.08,0.02,0.16,0.19,0.01,-0.04,-0.08
Contig0.10_52_53321_53842,cce_4143,0.11,0.1,-0.08,0.68,0.21,-0.52,-0.1,0.11,-0.07,0.44,-0.53,-0.67
Contig0.10_53_53972_54586,cce_4142,-2.91,-2.41,-0.75,1.11,0.17,-1.2,-3.03,-2.27,-0.88,1.02,0.36,-0.88
Contig0.10_5_2016_5444,cce_4193,0.24,0.12,0.19,0.22,0.23,0.15,0.29,0.18,0.13,0.15,0.11,0.08
Contig0.10_6_5533_8922,cce_4191,0.04,-0.05,0.07,0.24,0.23,0.08,0.08,0.06,0.06,0.22,0.14,0.05
Contig0.10_7_9019_12390,cce_4190,0.14,0.06,0.13,0.07,0.14,0.12,0.13,0.08,0.16,0.11,0.14,0.1
Contig0.10_8_12461_12985,cce_4189,-0.05,0.06,-0.06,-0.07,-0.09,-0.09,-0.06,,-0.07,-0.09,-0.14,-0.12
Contig0.10_9_13077_14318,cce_4188,-0.23,-0.31,-0.1,-0.21,0.36,0.39,-0.25,-0.16,0.02,-0.12,0.31,0.43
Contig0.1_10_7690_9357,cce_4519,0.14,-0.19,0.24,-0.01,0.04,0.15,0.07,-0.11,0.32,-0.01,0.13,0.09
Contig0.1_11_9417_9554,cce_4518,-2.19,-1.23,-0.19,0.85,0.03,-0.68,-2.34,-0.95,-0.04,0.82,0.13,-0.45
Contig0.1_12_9637_10179,cce_4517,-0.32,-0.13,-0.06,0.41,-0.07,-0.19,-0.36,0.02,-0.05,0.44,-0.03,-0.14
Contig0.1_13_10626_10315,cce_4516,-0.95,-1.02,-0.63,0.65,0.6,-0.56,-0.91,-0.63,-0.45,0.56,0.67,-0.33
Contig0.1_14_10625_10744,Contig0.1_14_10625_10744,0.18,0.04,0.16,0.03,0.11,0.07,0.2,0.13,0.09,-0.02,0.07,-0.01
Contig0.1_15_10750_12783,Contig0.1_15_10750_12783,0.05,0.04,0.09,0.05,0.04,0.06,0.06,0.05,0.02,-0.02,0.04,0.01
Contig0.1_16_12898_13110,cce_4514,-0.21,-0.23,-0.05,0.79,-0.23,-0.28,-0.32,-0.04,-0.05,0.73,-0.04,-0.24
Contig0.1_17_13346_13152,cce_4513,-0.2,-0.18,0.01,-0.05,0.11,0.08,-0.26,-0.09,0.01,-0.05,0.19,0.22
Contig0.1_18_15510_13711,cce_4512,0.05,-0.21,-0.25,-0.05,0.17,0.26,0.13,-0.15,-0.23,-0.01,0.08,0.09
Contig0.1_19_17904_15715,cce_4511,0.26,0.03,0.15,,0.1,0.05,0.23,0.12,0.07,-0.07,-0.01,
Contig0.1_1_62_613,cce_4528,0.09,0.08,0.13,0.2,0.04,-0.01,-0.06,0.15,0.12,0.26,-0.07,-0.12
Contig0.1_21_18214_20160,cce_4510,-0.39,-1.17,-0.99,-0.98,0.03,1.2,-0.01,-0.71,-0.79,-0.78,0.07,1.11
Contig0.1_22_20357_20917,cce_4509,-0.16,-0.17,-0.12,0.09,0.09,0.08,-0.13,-0.12,-0.13,0.03,0.02,0.02
Contig0.1_23_22030_21023,cce_4508,0.11,0.06,0.09,0.14,0.07,0.07,0.13,0.12,0.08,0.08,0.1,0.03
Contig0.1_24_22812_22033,cce_4507,0.26,-0.05,-0.08,0.02,-0.08,0.13,0.21,-0.04,-0.06,0.01,-0.02,0.05
Contig0.1_25_23937_22933,cce_4506,-0.01,0.16,-0.01,-0.16,-0.28,-0.24,-0.08,0.1,0.13,-0.08,-0.12,-0.12
Contig0.1_26_25202_24003,cce_4505,-0.14,-0.05,-0.06,-0.05,-0.1,-0.14,-0.17,-0.11,0.03,0.01,-0.03,-0.08
Contig0.1_27_26181_25282,cce_4504,-0.42,-0.19,-0.11,-0.03,-0.03,-0.19,-0.45,-0.19,-0.08,-0.07,-0.18,-0.21
Contig0.1_28_26774_26409,cce_4503,-0.2,-0.38,0.03,-0.3,0.34,0.19,-0.09,-0.41,0.08,-0.2,0.1,0.15
Contig0.1_29_27394_28074,cce_4502,0.15,0.09,0.09,0.13,0.07,0.19,0.2,0.23,0.09,0.05,0.04,0.19
Contig0.1_2_1063_680,cce_4527,0.05,,0.1,-0.1,0.16,0.02,0.1,-0.08,0.05,-0.06,-0.04,
Contig0.1_30_28091_28219,cce_4501,0.21,0.05,0.08,0.06,0.13,0.15,0.17,0.11,0.07,0.03,0.04,0.15
Contig0.1_31_28744_28277,cce_4500,-0.05,0.19,0.05,0.01,-0.12,-0.13,0.03,0.15,0.16,0.06,-0.02,-0.06
Contig0.1_32_29570_29061,cce_4499,-0.23,0.23,0.06,0.2,-0.26,-0.28,-0.24,0.24,0.08,0.13,-0.12,-0.22
Contig0.1_33_30507_29665,cce_4498,-0.05,0.1,-0.03,-0.05,-0.09,0.01,-0.03,-0.05,0.01,-0.04,0.02,
Contig0.1_34_31318_30512,cce_4497,-0.39,-0.18,-0.34,-0.1,-0.21,-0.14,-0.42,-0.28,-0.3,-0.05,-0.13,-0.08
Contig0.1_35_31586_31783,cce_4496,0.05,-0.07,0.08,0.08,0.16,0.16,0.05,,0.05,0.03,0.23,0.27
Contig0.1_36_31900_31793,cce_4495,-0.16,-0.13,-0.1,0.08,-0.05,-0.05,-0.16,-0.15,-0.07,0.08,0.03,0.01
Contig0.1_37_32546_32103,cce_4494,-0.23,-0.36,-0.22,0.17,0.11,0.13,-0.18,-0.25,-0.2,0.12,0.28,0.18
Contig0.1_38_33714_32581,cce_4493,-0.32,-0.78,-0.68,0.26,,0.14,-0.4,-0.65,-0.6,0.24,0.28,0.24
Contig0.1_39_34824_33910,cce_4492,0.06,0.1,-0.07,-0.2,-0.21,-0.18,0.01,-0.02,-0.16,-0.31,-0.32,-0.23
Contig0.1_3_1154_2128,cce_4526,0.21,0.12,0.18,0.05,0.13,0.1,0.24,0.12,0.1,-0.04,0.04,0.02
Contig0.1_40_35848_35036,cce_4491,0.08,0.07,0.05,-0.08,-0.05,-0.07,0.05,0.05,0.04,-0.09,-0.04,-0.07
Contig0.1_41_35891_36097,cce_4490,-1.33,-1.1,0.47,0.23,0.2,-0.28,-1.24,-0.59,0.58,0.39,0.14,-0.34
Contig0.1_4_2650_2132,cce_4525,-0.21,0.15,-0.19,-0.1,-0.23,-0.17,-0.14,-0.06,-0.13,-0.02,-0.14,-0.15
Contig0.1_5_3419_2697,cce_4524,-0.07,-0.04,-0.04,0.19,-0.18,-0.15,-0.03,-0.05,-0.03,0.15,-0.02,-0.14
Contig0.1_7_5044_5271,cce_4522,-0.4,-0.31,0.02,0.28,0.24,-0.06,-0.46,-0.07,0.01,0.16,0.16,
Contig0.1_8_5325_6062,cce_4521,-0.02,-0.02,0.14,0.19,0.26,0.09,0.01,0.13,0.1,0.11,0.16,0.05
Contig0.1_9_6230_7525,cce_4520,0.2,-0.14,0.06,-0.08,0.23,0.25,0.17,-0.04,0.17,0.01,0.2,0.22
Contig0.2_10_10150_8693,cce_4480,0.02,0.07,0.13,0.27,0.09,0.01,0.01,0.16,0.19,0.22,0.1,0.02
Contig0.2_11_10279_11202,cce_4479,-0.32,-0.27,-0.22,0.42,-0.05,-0.3,-0.36,-0.24,-0.22,0.32,0.01,-0.27
Contig0.2_12_11722_13581,cce_4478,0.63,0.2,-0.27,-0.48,-0.7,0.17,0.89,0.11,-0.34,-0.43,-0.62,0.02
Contig0.2_13_14239_13700,cce_4477,0.15,0.03,0.13,0.17,0.17,0.15,0.19,0.15,0.11,0.07,0.11,0.1
Contig0.2_15_15205_16398,cce_4475,-0.14,0.17,0.46,-0.03,-0.21,-0.17,-0.12,0.14,0.51,,-0.01,-0.1
Contig0.2_18_17927_17061,cce_4473,0.23,0.13,0.17,0.09,0.13,0.15,0.26,0.2,0.19,0.02,0.09,0.09
Contig0.2_1_1024_80,cce_4489,-2.14,,-0.2,1.17,-1.21,-1.93,-2.17,0.43,-0.3,1.12,-0.95,-1.77
Contig0.2_20_18538_19452,cce_4471,0.07,0.15,0.05,-0.06,,-0.02,0.16,0.11,0.16,-0.07,-0.03,0.02
Contig0.2_22_22835_20007,Contig0.2_22_22835_20007,0.08,0.02,0.21,0.09,0.14,0.17,0.02,0.14,0.3,0.12,0.18,0.18
Contig0.2_23_23169_24056,cce_4468,0.1,0.26,-0.04,-0.09,-0.07,-0.05,0.2,0.21,0.34,-0.04,0.05,0.1
Contig0.2_24_24107_24367,cce_4467,0.1,-0.06,,-0.07,0.04,0.24,0.12,-0.02,0.02,-0.01,0.01,0.21
Contig0.2_25_24377_24757,cce_4466,0.11,-0.01,0.06,-0.04,-0.03,0.11,0.11,0.02,0.02,-0.06,-0.02,0.06
Contig0.2_26_26486_24783,cce_4465,0.2,0.09,0.16,-0.01,0.09,0.1,0.23,0.08,0.11,-0.05,0.05,0.05
Contig0.2_27_26931_26671,cce_4464,0.07,-0.15,-0.05,-0.04,,0.52,0.05,-0.07,-0.1,-0.05,-0.01,0.12
Contig0.2_28_27828_26974,cce_4463,0.21,-0.06,-0.26,-0.19,-0.14,0.37,0.24,-0.03,-0.17,-0.18,-0.14,0.3
Contig0.2_29_28106_27831,cce_4462,0.58,-0.27,-0.44,-0.32,-0.15,0.69,0.49,-0.15,-0.34,-0.18,-0.21,0.54
Contig0.2_2_2624_1113,cce_4488,-1.11,0.05,-0.26,1.21,-1.09,-2.06,-0.71,0.5,-0.34,1.15,-0.92,-1.84
Contig0.2_30_28859_28296,cce_4461,0.07,-0.25,-0.2,0.22,0.44,0.11,0.04,-0.1,-0.25,0.1,0.05,-0.01
Contig0.2_31_29232_31043,cce_4460,-0.32,0.15,-0.17,0.33,-0.03,-0.19,-0.39,0.29,,0.4,0.24,-0.09
Contig0.2_32_31108_32073,cce_4459,0.05,0.16,0.03,-0.13,-0.09,-0.01,0.07,0.04,-0.03,-0.11,-0.06,-0.05
Contig0.2_33_32247_32666,cce_4458,-0.25,-0.05,-0.15,-0.07,-0.15,-0.15,-0.15,-0.11,-0.12,-0.02,-0.07,-0.14
Contig0.2_34_34112_32718,cce_4457,-0.22,-0.19,-0.21,-0.36,-0.44,0.38,-0.11,-0.21,-0.23,-0.28,-0.25,0.3
Contig0.2_35_35369_34137,cce_4456,-0.06,0.09,-0.07,-0.21,-0.23,0.15,0.03,-0.07,-0.15,-0.27,-0.24,0.04
Contig0.2_36_36614_35376,cce_4455,-0.14,-0.2,-0.23,-0.34,-0.37,0.62,-0.08,-0.21,-0.17,-0.24,-0.19,0.53
Contig0.2_37_37660_36728,cce_4454,-0.4,-0.64,-0.49,-0.78,-0.84,1.1,-0.28,-0.59,-0.56,-0.53,-0.41,0.99
Contig0.2_38_38668_37742,cce_4453,-0.67,-1.01,-0.78,-0.97,-0.96,1.19,-0.39,-0.69,-0.65,-0.66,-0.61,1.12
Contig0.2_39_39628_38723,cce_4452,-0.37,-0.71,-0.58,-0.95,-0.89,1.24,-0.1,-0.52,-0.57,-0.71,-0.58,1.12
Contig0.2_3_3226_2669,cce_4487,-2.08,-0.02,-0.25,1.2,-1.04,-2.0,-2.17,0.48,-0.33,1.11,-0.85,-1.8
Contig0.2_40_40144_39686,cce_4451,-0.9,-1.44,-1.23,-1.49,-1.57,1.44,-0.52,-0.95,-1.02,-1.16,-1.11,1.31
Contig0.2_41_41096_40284,cce_4450,-0.6,-1.31,-0.87,-1.41,-1.32,1.56,-0.24,-1.04,-1.15,-1.15,-1.02,1.41
Contig0.2_42_42167_41532,cce_4449,0.09,0.03,0.05,-0.06,-0.06,-0.04,0.08,-0.01,0.04,-0.09,-0.05,-0.03
Contig0.2_43_43037_42225,cce_4448,0.05,0.08,0.01,-0.18,-0.14,-0.1,0.06,-0.03,-0.04,-0.17,-0.09,-0.12
Contig0.2_44_43491_43081,cce_4447,-0.11,0.08,-0.07,-0.11,-0.18,-0.06,-0.02,-0.07,0.1,-0.06,-0.06,-0.01
Contig0.2_45_43586_43675,cce_4446,-1.02,-0.22,-0.01,0.3,-0.08,-0.35,-1.01,0.02,0.18,0.32,-0.09,-0.25
Contig0.2_46_43680_43823,cce_4445,-0.8,-0.18,-0.02,0.22,-0.08,-0.37,-0.92,0.02,0.15,0.26,-0.05,-0.32
Contig0.2_48_45939_44476,cce_4443,-0.05,0.12,-0.02,-0.12,-0.27,-0.19,-0.1,-0.07,-0.12,-0.14,-0.18,-0.19
Contig0.2_49_47470_45989,cce_4442,-0.01,0.25,-0.09,-0.26,-0.35,-0.25,-0.01,-0.03,-0.1,-0.13,-0.19,-0.2
Contig0.2_4_3765_3229,cce_4486,-2.4,-0.01,-0.21,1.28,-1.01,-2.11,-2.39,0.49,-0.3,1.19,-0.84,-1.98
Contig0.2_50_48013_47882,cce_4441,-0.56,-0.66,-0.43,0.31,0.34,0.01,-0.54,-0.53,-0.24,0.31,0.37,0.12
Contig0.2_51_48172_49269,cce_4440,,0.23,0.1,0.27,0.06,,,0.27,0.15,0.22,0.14,0.01
Contig0.2_52_49501_50190,cce_4439,-0.08,0.14,0.22,-0.17,0.01,-0.03,-0.06,0.15,0.29,-0.18,-0.13,-0.09
Contig0.2_53_50202_51509,cce_4438,0.07,0.44,0.47,-0.23,-0.24,-0.42,,0.46,0.46,-0.18,-0.32,-0.52
Contig0.2_54_51467_51559,Contig0.2_54_51467_51559,0.18,0.61,0.54,-0.33,-0.34,-0.47,0.13,0.41,0.51,-0.27,-0.43,-0.47
Contig0.2_55_51770_51958,Contig0.2_55_51770_51958,0.3,1.13,0.91,-1.24,-0.7,-0.71,0.14,0.81,0.88,-0.99,-0.55,-0.41
Contig0.2_5_4227_3796,cce_4485,-1.86,-0.04,-0.12,1.1,-0.82,-1.84,-1.94,0.42,-0.23,1.04,-0.65,-1.71
Contig0.2_6_4559_4314,cce_4484,-2.21,-0.22,0.02,1.04,-0.87,-2.07,-2.36,0.42,0.03,0.92,-0.82,-1.94
Contig0.2_7_5570_4815,cce_4483,-2.12,-0.42,-0.35,1.17,-0.56,-1.97,-2.29,-0.01,-0.4,1.16,-0.41,-1.73
Contig0.2_8_6028_5609,cce_4482,-2.67,-0.52,-0.16,1.17,-0.52,-1.87,-2.7,-0.1,-0.1,1.18,-0.44,-1.71
Contig0.2_9_8525_6276,cce_4481,0.29,0.26,0.21,0.07,0.09,0.04,0.34,0.24,0.24,-0.04,0.04,0.02
Contig0.3_10_11684_10842,cce_4428,-0.01,-0.05,-0.02,0.08,0.01,-0.01,-0.07,0.01,0.02,0.09,0.04,0.03
Contig0.3_11_12773_11739,cce_4427,0.16,0.18,0.15,0.1,0.06,0.01,0.22,0.12,0.09,-0.02,0.03,-0.04
Contig0.3_12_14407_13079,cce_4426,,0.09,-0.03,-0.17,-0.15,-0.19,-0.09,-0.01,-0.06,-0.12,-0.16,-0.16
Contig0.3_13_15744_14458,cce_4425,0.11,0.19,0.12,0.1,0.13,-0.06,0.12,0.1,0.13,-0.09,0.04,-0.07
Contig0.3_14_16157_16978,cce_4424,-0.17,0.08,0.17,0.34,-0.15,-0.24,-0.19,0.15,0.17,0.29,-0.05,-0.2
Contig0.3_1_1_1176,cce_4437,0.24,0.93,0.78,-1.06,-0.57,-0.21,0.14,0.65,0.56,-0.87,-0.35,-0.16
Contig0.3_2_1337_2779,cce_4436,-0.07,0.86,0.38,-0.19,-0.54,-0.37,-0.13,0.64,0.18,-0.25,-0.2,-0.22
Contig0.3_3_3035_3574,cce_4435,1.3,0.31,-0.38,-0.57,-0.05,-0.07,1.3,0.14,-0.22,-0.38,0.09,0.16
Contig0.3_4_4295_3654,cce_4434,-0.17,-0.08,-0.16,0.41,0.08,-0.21,-0.19,-0.17,-0.18,0.13,-0.14,-0.21
Contig0.3_5_4593_5153,cce_4433,,-0.25,-0.07,0.62,0.08,-0.09,-0.1,-0.1,-0.08,0.44,-0.01,-0.04
Contig0.3_6_6657_5236,cce_4432,0.62,0.51,-1.0,-0.95,-1.17,0.89,0.59,0.7,-1.41,-0.8,-1.03,0.73
Contig0.3_7_6925_7626,cce_4431,,-0.3,-0.5,-0.37,-0.54,0.63,0.02,-0.17,-0.47,-0.28,-0.35,0.58
Contig0.3_8_7694_10045,cce_4430,-0.12,0.02,-0.09,0.16,-0.11,0.12,-0.13,0.08,-0.08,0.18,0.05,0.06
Contig0.4_10_9334_8459,cce_4415,-0.3,0.07,-0.15,-0.01,-0.24,-0.22,-0.33,-0.04,-0.13,0.04,-0.07,-0.1
Contig0.4_11_9469_11106,cce_4414,-0.13,-0.14,-0.15,0.03,0.15,0.1,-0.09,-0.06,-0.13,0.05,-0.01,0.04
Contig0.4_12_12571_11207,cce_4413,-0.64,-0.59,-0.38,-0.37,0.8,0.28,-0.6,-0.51,-0.35,-0.44,0.65,0.39
Contig0.4_13_13835_12756,cce_4412,-1.92,1.89,-0.12,-0.73,-1.7,-2.08,-1.75,2.33,-0.31,-0.71,-1.87,-2.02
Contig0.4_15_14196_14011,cce_4411,-0.05,-0.04,0.01,-0.04,0.06,0.03,-0.1,-0.05,,0.02,0.08,0.08
Contig0.4_16_14326_14153,cce_4410,0.14,0.06,0.09,0.01,0.07,0.04,0.12,0.1,0.06,-0.04,0.01,0.01
Contig0.4_17_15475_14372,cce_4409,0.18,0.04,0.13,,0.06,0.03,0.19,0.11,0.07,-0.07,-0.03,-0.05
Contig0.4_18_15937_15482,cce_4408,-0.06,-0.07,-0.02,,0.06,0.07,-0.09,-0.03,-0.07,-0.03,-0.01,0.01
Contig0.4_19_16389_15973,cce_4407,-0.07,-0.14,-0.02,0.01,0.16,0.16,-0.06,-0.04,0.03,0.03,0.15,0.14
Contig0.4_1_1_561,cce_4424,-0.06,-0.04,0.09,0.14,0.02,-0.04,-0.18,0.01,0.2,0.21,0.16,0.09
Contig0.4_21_16939_18186,cce_4406,0.24,0.08,0.17,-0.05,0.09,0.09,0.25,0.14,0.12,-0.1,0.04,
Contig0.4_22_18325_19521,cce_4405,-0.09,0.11,0.34,0.01,0.52,0.31,-0.02,,0.07,-0.03,0.14,-0.06
Contig0.4_23_19538_19897,cce_4404,0.17,0.22,0.28,-0.01,0.21,0.13,0.31,0.09,0.18,-0.03,-0.05,-0.03
Contig0.4_24_20103_20924,cce_4403,-0.05,0.3,0.4,-0.18,-0.06,-0.09,-0.13,0.19,0.3,-0.13,-0.02,-0.04
Contig0.4_25_20866_21339,cce_4402,0.21,0.07,0.25,-0.06,0.03,0.06,0.15,0.12,0.33,-0.03,,0.07
Contig0.4_26_21576_24164,cce_4401,0.02,0.28,0.34,,,-0.18,-0.03,0.38,0.33,-0.02,-0.08,-0.14
Contig0.4_27_24397_26082,cce_4400,0.76,0.86,-0.4,-0.86,-0.78,0.25,0.83,0.98,-0.47,-0.68,-0.54,0.11
Contig0.4_28_26331_27446,cce_4399,0.08,0.24,0.01,0.04,-0.15,-0.01,0.11,0.27,0.1,0.07,-0.08,-0.04
Contig0.4_29_27945_27487,cce_4398,-0.12,0.67,0.09,-0.14,-0.2,-0.28,-0.18,0.68,0.08,0.01,-0.11,-0.29
Contig0.4_2_682_1650,cce_4423,-0.2,0.05,0.14,0.27,-0.05,-0.09,-0.22,0.07,0.13,0.24,-0.06,-0.06
Contig0.4_31_28848_28126,cce_4397,-0.32,-0.2,0.01,0.24,-0.04,-0.09,-0.38,0.03,0.01,0.26,0.14,0.01
Contig0.4_32_29020_29427,cce_4396,0.02,0.03,0.16,0.1,0.04,-0.07,-0.02,0.12,0.21,0.08,-0.01,-0.07
Contig0.4_33_30573_29524,cce_4395,-0.69,-0.65,-0.25,0.56,0.25,-0.51,-0.71,-0.63,-0.17,0.56,0.31,-0.29
Contig0.4_35_32089_31697,cce_4393,0.1,0.18,0.07,-0.09,-0.07,-0.04,0.1,0.06,0.01,-0.14,-0.08,-0.12
Contig0.4_36_32123_32269,cce_4392,0.22,-0.05,0.31,-0.77,-0.32,0.5,0.19,0.01,0.56,-0.62,-0.22,0.52
Contig0.4_37_32363_34597,cce_4391,1.32,0.28,-0.31,-0.98,-0.9,0.27,1.45,0.2,-0.23,-0.83,-0.69,0.03
Contig0.4_38_34720_35187,cce_4390,1.04,0.47,-0.17,-0.48,-0.52,-0.29,1.12,0.16,-0.15,-0.39,-0.48,-0.26
Contig0.4_39_35253_35504,cce_4389,-0.05,0.03,0.1,-0.14,,-0.14,-0.04,0.11,0.13,-0.19,-0.16,-0.2
Contig0.4_3_1946_3592,cce_4422,0.25,-0.09,0.11,,0.39,0.24,0.25,0.03,0.07,-0.04,0.08,0.12
Contig0.4_40_35997_37046,cce_4388,-0.8,,0.03,0.66,-0.54,-0.35,-0.78,-0.02,-0.15,0.64,-0.29,-0.26
Contig0.4_42_37337_37558,cce_4387,0.02,-0.01,0.02,-0.04,-0.06,-0.07,-0.01,-0.02,-0.02,-0.06,-0.06,-0.04
Contig0.4_43_37616_37978,cce_4386,0.11,0.05,0.05,-0.04,-0.05,0.03,0.11,0.01,0.04,-0.03,,0.01
Contig0.4_44_38129_40468,cce_4385,0.4,-0.11,-0.09,-0.31,-0.18,0.22,0.48,-0.17,-0.14,-0.3,-0.09,0.12
Contig0.4_45_40555_41010,cce_4384,,0.1,0.19,-0.14,-0.15,,-0.05,0.06,0.15,-0.18,-0.09,-0.07
