Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig4.1_1_501_1,cce_0802,0.11,0.34,-0.05,0.13,-0.06,-0.18,0.11,0.14,0.33,0.22,-0.04,-0.09
Contig4.1_20_14238_14402,cce_0821,0.24,0.22,0.18,-0.52,-0.09,-0.05,0.28,0.21,0.11,-0.49,-0.23,-0.11
Contig4.1_21_15545_14475,cce_0822,0.44,0.19,-0.04,-0.3,-0.19,0.21,0.41,0.44,0.18,-0.2,-0.2,0.08
Contig4.1_22_15959_15573,cce_0823,0.14,0.07,0.02,-0.44,-0.05,0.3,0.18,0.3,0.11,-0.47,-0.26,0.11
Contig4.1_23_16265_16729,cce_0824,0.22,0.13,-0.06,-0.41,-0.18,-0.03,0.19,-0.11,-0.05,-0.23,-0.14,-0.09
Contig4.1_24_16992_18482,cce_0825,0.7,0.3,-0.11,-0.49,-0.46,-0.42,0.76,0.08,-0.12,-0.4,-0.35,-0.38
Contig4.1_27_20079_19189,cce_0828,0.03,-0.12,0.02,0.19,0.17,0.2,,-0.01,0.05,0.19,0.13,0.2
Contig4.1_28_21272_20223,cce_0829,-0.27,0.22,0.26,0.34,-0.18,-0.28,-0.23,0.3,0.21,0.24,-0.16,-0.28
Contig4.1_29_21406_21678,cce_0830,-0.24,-0.29,-0.3,0.96,0.23,-0.3,-0.26,-0.14,-0.16,0.66,-0.26,-0.32
Contig4.1_2_1193_570,cce_0803,-0.05,-0.01,-0.07,0.02,0.03,0.03,-0.02,-0.05,-0.06,0.01,0.01,0.02
Contig4.1_30_22503_21670,cce_0831,0.2,0.33,0.14,0.17,-0.16,-0.24,0.22,0.34,0.34,0.29,0.02,-0.09
Contig4.1_31_22643_22894,cce_0832,-0.06,-0.15,0.06,0.02,0.21,0.17,-0.14,0.01,0.05,0.03,0.17,0.17
Contig4.1_32_23866_23126,cce_0833,-0.05,-0.06,-0.13,0.07,-0.11,-0.09,-0.18,-0.07,-0.11,0.12,0.01,-0.02
Contig4.1_34_24577_23954,cce_0834,-0.29,-0.32,-0.24,0.61,-0.09,-0.19,-0.33,-0.17,-0.21,0.56,0.15,-0.12
Contig4.1_35_26008_24731,cce_0835,-1.42,-0.94,-0.65,0.81,-0.05,-0.22,-1.49,-0.72,-0.92,0.71,0.25,-0.07
Contig4.1_36_26063_26176,cce_0836,1.32,0.01,0.04,-0.25,-0.44,-0.01,1.07,0.13,0.12,-0.05,-0.01,-0.04
Contig4.1_37_26205_27050,cce_0837,-0.03,0.04,0.09,0.07,0.05,0.05,0.02,0.02,0.05,0.03,0.01,0.06
Contig4.1_38_29526_27310,cce_0839,-0.14,-0.03,-0.09,0.21,0.06,0.06,0.03,-0.03,-0.02,0.22,0.04,0.03
Contig4.1_39_29803_29594,cce_0840,-0.36,-0.3,-0.21,0.07,0.35,0.15,-0.34,-0.26,-0.12,0.11,0.29,0.22
Contig4.1_3_1936_1385,cce_0804,-0.74,-0.32,-0.1,0.76,-0.4,-0.56,-0.79,-0.07,-0.05,0.72,-0.03,-0.39
Contig4.1_40_31329_29902,cce_0841,1.44,-0.11,-2.4,-4.09,-2.93,-0.32,1.58,-0.24,-3.37,-3.91,-3.3,-0.7
Contig4.1_41_31624_31337,cce_0842,1.7,-0.28,-2.79,-4.46,-3.45,-0.2,1.66,-0.36,-3.49,-3.82,-3.43,-0.66
Contig4.1_42_32796_31639,cce_0843,1.87,-0.37,-2.69,-4.16,-3.39,-0.16,1.77,-0.37,-3.4,-3.65,-3.29,-0.63
Contig4.1_43_33443_33652,cce_0844,-0.99,0.04,-0.38,0.64,-0.36,-0.71,-1.1,0.38,-0.51,0.75,-0.19,-0.48
Contig4.1_45_36405_33931,cce_0846,0.45,-0.08,-0.06,-0.26,-0.19,0.43,0.58,-0.14,-0.19,-0.23,-0.12,0.18
Contig4.1_46_36508_37290,cce_0847,0.74,-0.28,-0.25,-0.26,-0.27,0.8,0.88,-0.08,-0.12,-0.22,-0.17,0.46
Contig4.1_47_37615_37385,cce_0848,-0.1,-0.3,-0.15,-0.17,0.05,0.38,-0.15,-0.15,-0.1,-0.07,0.08,0.57
Contig4.1_48_37933_38235,cce_0849,0.16,-0.01,0.05,0.02,0.1,0.22,0.2,0.06,0.06,-0.01,0.04,0.13
Contig4.1_49_38295_38795,cce_0850,0.13,0.06,0.13,0.05,0.1,0.1,0.15,0.12,0.1,0.05,0.06,0.06
Contig4.1_4_2127_3050,cce_0805,0.6,0.39,0.04,-0.36,-0.24,-0.18,0.65,0.13,0.01,-0.21,-0.16,-0.19
Contig4.1_50_38826_39080,cce_0851,0.26,0.17,0.05,0.02,0.05,0.03,0.27,0.19,0.24,0.01,0.02,0.11
Contig4.1_51_39954_39037,cce_0852,-0.04,0.05,-0.2,-0.19,-0.16,-0.02,-0.02,-0.1,-0.06,-0.2,-0.09,
Contig4.1_52_40117_40776,cce_0853,0.45,0.3,0.05,-0.4,0.28,0.19,0.47,0.15,0.13,-0.37,-0.23,0.03
Contig4.1_53_41044_40838,cce_0854,0.43,-0.72,-1.39,0.03,0.34,0.29,0.24,-0.86,-1.43,0.06,0.14,0.32
Contig4.1_54_41969_41244,cce_0855,-0.05,0.01,-0.04,0.04,0.23,0.16,-0.04,0.03,0.08,0.06,0.17,0.23
Contig4.1_56_43515_42091,cce_0856,-0.07,-0.13,-0.08,-0.02,0.05,0.11,-0.08,-0.07,-0.07,0.02,0.07,0.15
Contig4.1_57_44098_43631,cce_0857,-0.18,-0.22,-0.17,0.13,0.26,0.29,-0.1,-0.1,-0.03,0.18,0.32,0.44
Contig4.1_58_44495_44145,cce_0858,,,-0.03,-0.03,-0.07,-0.01,,-0.01,0.01,-0.01,0.02,-0.02
Contig4.1_59_45138_45446,cce_0859,-0.46,-0.59,-0.33,0.25,0.43,0.4,-0.47,-0.36,-0.32,0.08,0.13,0.5
Contig4.1_5_3141_3500,cce_0806,-0.76,-0.17,-0.03,0.27,0.05,-0.1,-0.77,-0.01,-0.01,0.19,0.12,-0.12
Contig4.1_60_45598_45792,cce_0860,-2.27,-1.47,-0.49,0.46,0.3,-0.14,-2.34,-1.19,-0.18,0.4,0.26,0.06
Contig4.1_62_46007_46276,cce_0861,-0.91,-0.71,-0.18,0.21,0.3,0.16,-0.92,-0.49,-0.16,0.16,0.31,0.24
Contig4.1_63_46484_47104,cce_0862,-0.58,-0.66,-0.24,0.16,0.29,0.2,-0.56,-0.57,-0.3,0.05,0.31,0.25
Contig4.1_64_47109_48518,cce_0863,-0.4,-0.27,-0.2,0.14,0.06,0.15,-0.47,-0.15,-0.24,0.13,0.11,0.15
Contig4.1_65_48565_49137,cce_0864,-0.11,-0.08,-0.11,-0.24,0.04,0.02,-0.14,-0.17,-0.21,-0.27,-0.12,-0.07
Contig4.1_67_49424_49864,cce_0866,-0.08,,-0.03,-0.07,-0.14,-0.06,-0.05,-0.04,-0.03,-0.01,-0.05,-0.03
Contig4.1_68_49999_50130,cce_0867,-0.92,-1.05,-0.45,-0.12,0.54,0.56,-0.93,-0.74,-0.2,0.04,0.52,0.68
Contig4.1_6_3596_3504,Contig4.1_6_3596_3504,0.1,-0.01,0.06,-0.04,-0.01,-0.03,0.11,0.08,0.03,-0.07,-0.05,-0.04
Contig4.1_70_50236_50808,cce_0868,-0.01,-0.09,-0.01,0.04,0.32,0.24,-0.01,,0.03,0.07,0.17,0.2
Contig4.1_71_51038_51676,cce_0869,0.46,0.58,0.32,-0.09,-0.21,-0.27,0.36,0.61,0.4,-0.06,-0.2,-0.24
Contig4.1_72_51823_53088,cce_0870,-0.09,0.14,0.29,0.04,0.12,-0.02,0.03,0.09,0.26,0.06,0.13,0.03
Contig4.1_73_53796_53080,cce_0871,1.11,-0.46,-0.63,-0.94,-0.9,1.0,1.27,-0.33,-0.86,-0.68,-0.62,0.67
Contig4.1_74_54311_53820,cce_0872,1.09,-0.56,-0.73,-1.07,-1.01,1.08,1.18,-0.33,-0.76,-0.8,-0.73,0.86
Contig4.1_75_54923_55255,cce_0873,-0.54,-0.23,0.72,0.32,-0.48,-0.47,-0.51,-0.02,0.72,0.34,-0.26,-0.39
Contig4.1_76_55658_56314,cce_0874,0.3,-0.13,-0.17,-0.32,-0.38,0.1,0.27,-0.14,-0.22,-0.25,-0.23,0.07
Contig4.1_77_58015_56765,cce_0875,0.82,0.13,-0.27,-0.78,-0.41,0.41,1.03,,-0.53,-0.86,-0.35,0.25
Contig4.1_78_59108_58650,cce_0876,-0.25,0.41,0.27,0.32,-0.45,-0.55,-0.36,0.56,0.27,0.28,-0.18,-0.42
Contig4.1_79_60056_59127,cce_0877,-0.32,0.36,0.24,0.36,-0.43,-0.55,-0.45,0.51,0.21,0.27,-0.17,-0.49
Contig4.1_7_3583_5199,cce_0807,-0.09,0.06,-0.01,-0.17,-0.23,-0.2,-0.1,-0.08,-0.14,-0.22,-0.2,-0.26
